playerID,Seasons,fullName,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,SF,walks,BA,OBP,1B,SLUG,OPS,Position,PO,A,E,FP,Cy Young,Gold Glove,Hank Aaron,Most Valuable Player,Rolaids Relief Man Award,Rookie of the Year,Silver Slugger,ASG,inducted
loftoke01,20,Kenny Lofton,2103,8120,1528,2428,383,116,130,781.0,622.0,160.0,945,1016.0,32.0,65.0,977.0,0.299,0.372,1799,0.423,0.795,B,4856.0,142.0,79.0,0.98,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,N
loganjo01,14,Johnny Logan,1503,5244,651,1407,216,41,93,547.0,19.0,13.0,451,472.0,43.0,30.0,494.0,0.268,0.33,1057,0.378,0.708,B,2631.0,4447.0,257.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,N
lollash01,18,Sherm Lollar,1752,5351,623,1415,244,14,155,808.0,20.0,10.0,671,453.0,115.0,34.0,786.0,0.264,0.357,1002,0.402,0.759,B,7243.0,705.0,63.0,0.99,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,N
lombaer01,17,Ernie Lombardi,1853,5855,601,1792,277,27,190,990.0,8.0,0.0,430,262.0,46.0,0.0,476.0,0.306,0.358,1298,0.46,0.818,B,5694.0,845.0,143.0,0.98,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,N
longda02,14,Dale Long,1013,3020,384,805,135,33,132,467.0,10.0,3.0,353,460.0,7.0,39.0,360.0,0.267,0.341,505,0.464,0.805,B,6960.0,551.0,88.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N
longhe01,17,Herman Long,1875,7678,1456,2129,342,97,91,1055.0,537.0,0.0,612,462.0,57.0,0.0,669.0,0.277,0.335,1599,0.383,0.718,B,4450.0,6335.0,1096.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
lopatst01,13,Stan Lopata,853,2601,375,661,116,25,116,397.0,18.0,11.0,393,497.0,7.0,21.0,400.0,0.254,0.351,404,0.452,0.803,B,3860.0,262.0,59.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,N
lopesda01,18,Davey Lopes,1812,6354,1023,1671,232,50,155,614.0,557.0,114.0,833,852.0,31.0,48.0,864.0,0.263,0.349,1234,0.388,0.737,B,3558.0,3931.0,177.0,0.98,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,N
lopezal01,20,Al Lopez,1950,5916,613,1547,206,43,51,652.0,46.0,1.0,556,538.0,14.0,0.0,570.0,0.261,0.326,1247,0.337,0.663,B,6654.0,1126.0,123.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,N
lopezfe01,16,Felipe Lopez,1185,4337,600,1145,219,31,90,439.0,124.0,58.0,445,913.0,18.0,29.0,463.0,0.264,0.333,805,0.391,0.724,B,1524.0,2774.0,162.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,N
