playerID,Seasons,fullName,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,R,IP,ERA,WHIP,K/9,K/BB,BAA,Position,PO,A,E,FP,Cy Young,Gold Glove,Hank Aaron,Most Valuable Player,Rolaids Relief Man Award,Rookie of the Year,Silver Slugger,ASG,inducted
darwida01,25,Danny Darwin,171,182,716,371,53,9,32,9050,2951,1286,321,874,1942,1431,3016.7,3.84,1.27,5.79,2.22,0.256,P,184,364,27.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
daussho01,15,Hooks Dauss,222,182,538,388,245,22,40,10172,3407,1245,87,1067,1201,1599,3390.7,3.3,1.32,3.19,1.13,0.262,P,99,1128,41.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
daviscu01,15,Curt Davis,158,131,429,281,141,24,33,6975,2459,884,142,479,684,1033,2325.0,3.42,1.26,2.65,1.43,0.267,P,146,616,21.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,N
davisdi01,10,Dixie Davis,75,71,239,165,77,10,2,3956,1311,581,63,688,460,722,1318.7,3.97,1.52,3.14,0.67,0.257,P,69,268,17.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
davisdo02,15,Doug Davis,92,108,306,286,7,3,0,5147,1813,846,180,783,1279,921,1715.7,4.44,1.51,6.71,1.63,0.274,P,68,239,16.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
davisma01,18,Mark Davis,51,84,624,85,4,2,96,3435,1068,530,129,534,1007,582,1145.0,4.17,1.4,7.92,1.89,0.249,P,29,151,16.0,0.92,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,N
davisro02,13,Ron Davis,47,53,481,0,0,0,130,2240,735,336,82,300,597,361,746.7,4.05,1.39,7.2,1.99,0.26,P,35,83,4.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N
davisst02,15,Storm Davis,113,96,442,239,30,5,11,5342,1792,796,136,687,1048,866,1780.7,4.02,1.39,5.3,1.53,0.263,P,121,196,13.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
dayleke01,12,Ken Dayley,33,45,385,33,0,0,39,1721,564,232,42,225,406,273,573.7,3.64,1.38,6.37,1.8,0.261,P,23,63,2.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
deandi01,12,Dizzy Dean,150,83,317,230,154,26,30,5902,1919,661,95,453,1163,774,1967.3,3.02,1.21,5.32,2.57,0.25,P,76,283,15.0,0.96,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,Y
dejeami01,13,Mike DeJean,30,33,565,1,0,0,52,1870,649,298,59,292,446,327,623.3,4.3,1.51,6.44,1.53,0.271,P,50,92,3.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
deleojo01,17,Jose DeLeon,86,119,415,264,21,7,6,5692,1556,793,153,841,1594,877,1897.3,3.76,1.26,7.56,1.9,0.224,P,79,161,16.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
delocik01,12,Ike Delock,84,75,329,147,32,6,31,3714,1236,555,141,530,672,629,1238.0,4.03,1.43,4.89,1.27,0.254,P,72,160,12.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
delosva01,10,Valerio De Los Santos,9,13,235,4,0,0,1,768,225,130,37,127,207,137,256.0,4.57,1.38,7.28,1.63,0.239,P,8,32,2.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
delucri01,11,Rich DeLucia,38,51,320,49,1,0,7,1872,590,320,91,299,502,347,624.0,4.62,1.42,7.24,1.68,0.251,P,30,71,4.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
